epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,1544.52,0.71162,0.53761,1.03722,0.38938,0.37054,0.3036,0.13726,2.32245,2.62383,2.4809,0.0014079,0.0014079,0.0014079
159,1553.18,0.68576,0.50033,1.02345,0.46327,0.33526,0.3472,0.17792,2.21837,2.49995,2.35254,0.00140625,0.00140625,0.00140625
160,1563.4,0.6935,0.53038,1.03382,0.47042,0.34094,0.31576,0.15584,2.24688,2.47233,2.39135,0.0014046,0.0014046,0.0014046
161,1573.66,0.70342,0.53293,1.03809,0.44721,0.37057,0.34168,0.16619,2.28721,2.60123,2.45947,0.00140295,0.00140295,0.00140295
162,1582.11,0.70655,0.52653,1.05119,0.52335,0.3353,0.35736,0.17948,2.22829,2.4343,2.37006,0.0014013,0.0014013,0.0014013
163,1592.29,0.6727,0.49492,1.01908,0.52256,0.34693,0.36324,0.18464,2.2152,2.38651,2.42146,0.00139965,0.00139965,0.00139965
164,1602.6,0.69046,0.50589,1.03775,0.5239,0.34043,0.35116,0.17861,2.21849,2.30372,2.35047,0.001398,0.001398,0.001398
165,1611.3,0.68827,0.50311,1.02489,0.48485,0.35515,0.34108,0.17443,2.29915,2.49325,2.4325,0.00139635,0.00139635,0.00139635
166,1621.67,0.70396,0.50798,1.03954,0.40331,0.38048,0.33725,0.16863,2.28436,2.3457,2.41448,0.0013947,0.0013947,0.0013947
167,1632.07,0.71039,0.51397,1.04303,0.40809,0.35947,0.32215,0.15538,2.25635,2.46564,2.38705,0.00139305,0.00139305,0.00139305
168,1640.96,0.70272,0.50404,1.00587,0.4421,0.38498,0.34056,0.16936,2.21833,2.42466,2.36639,0.00139139,0.00139139,0.00139139
169,1651.05,0.70377,0.49978,1.03362,0.477,0.35234,0.34168,0.16421,2.28224,2.48848,2.47107,0.00138974,0.00138974,0.00138974
170,1661.26,0.69811,0.51034,1.01835,0.45632,0.36229,0.3388,0.16658,2.26097,2.35267,2.4534,0.00138809,0.00138809,0.00138809
171,1670.26,0.66864,0.50211,1.01397,0.46014,0.37785,0.34079,0.17097,2.21193,2.3317,2.36161,0.00138644,0.00138644,0.00138644
172,1680.03,0.69743,0.49466,1.02494,0.41761,0.33547,0.30586,0.14327,2.33049,2.76535,2.54582,0.00138479,0.00138479,0.00138479
173,1690.07,0.69784,0.51065,1.02115,0.47194,0.3522,0.33634,0.1615,2.27219,2.46569,2.4421,0.00138314,0.00138314,0.00138314
174,1701.88,0.64218,0.4695,0.99601,0.53611,0.36598,0.37829,0.18109,2.24626,2.31991,2.43728,0.00138149,0.00138149,0.00138149
175,1710.81,0.68093,0.49593,1.01352,0.50023,0.34075,0.35072,0.16725,2.24657,2.49135,2.46695,0.00137984,0.00137984,0.00137984
176,1720.89,0.67733,0.51259,1.01961,0.44092,0.3391,0.3092,0.15007,2.27452,2.5192,2.46523,0.00137819,0.00137819,0.00137819
177,1731.3,0.65591,0.4807,1.00861,0.51537,0.34136,0.34192,0.17229,2.19835,2.53033,2.34474,0.00137654,0.00137654,0.00137654
178,1740.04,0.6584,0.48235,1.00696,0.46711,0.36465,0.33946,0.16574,2.21304,2.47587,2.36636,0.00137489,0.00137489,0.00137489
179,1750.28,0.68786,0.50167,1.00922,0.44828,0.34875,0.32666,0.15125,2.28287,2.57052,2.43359,0.00137324,0.00137324,0.00137324
180,1760.56,0.69892,0.49819,1.0166,0.52449,0.37098,0.36082,0.17363,2.29364,2.36462,2.47487,0.00137159,0.00137159,0.00137159
181,1769.78,0.68103,0.49484,1.0212,0.5409,0.37598,0.35285,0.17586,2.23296,2.34798,2.43095,0.00136994,0.00136994,0.00136994
182,1779.85,0.66207,0.48798,1.0056,0.54418,0.3687,0.35839,0.16966,2.30977,2.53016,2.53438,0.00136829,0.00136829,0.00136829
