epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,1387.71,0.64608,0.46504,1.00311,0.47319,0.3833,0.35344,0.17781,2.17837,2.34094,2.3758,0.000742815,0.000742815,0.000742815
142,1398.24,0.65468,0.47711,1.00402,0.4019,0.39925,0.33382,0.16284,2.23928,2.52372,2.45379,0.000736214,0.000736214,0.000736214
143,1408.16,0.65295,0.47885,1.01085,0.45805,0.35773,0.3357,0.16802,2.2261,2.42854,2.41819,0.000729613,0.000729613,0.000729613
144,1417.43,0.6414,0.45012,1.0023,0.42013,0.38644,0.33178,0.15797,2.22134,2.53948,2.4197,0.000723011,0.000723011,0.000723011
145,1427.61,0.64686,0.47511,1.01275,0.4824,0.39358,0.34081,0.16283,2.19897,2.41917,2.38841,0.00071641,0.00071641,0.00071641
146,1438.14,0.65409,0.46421,1.00005,0.49416,0.37414,0.34949,0.17143,2.17484,2.45131,2.36337,0.000709809,0.000709809,0.000709809
147,1447.29,0.64124,0.4786,0.99682,0.44032,0.38421,0.35433,0.17508,2.16645,2.36322,2.3353,0.000703207,0.000703207,0.000703207
148,1457.39,0.65843,0.471,1.00128,0.46748,0.35605,0.34547,0.16889,2.20183,2.49018,2.42001,0.000696606,0.000696606,0.000696606
149,1467.75,0.63299,0.46865,0.99602,0.48291,0.36815,0.35116,0.17567,2.17569,2.47125,2.39842,0.000690005,0.000690005,0.000690005
150,1477.43,0.62558,0.44725,0.98168,0.51847,0.35189,0.36358,0.18927,2.11374,2.37885,2.29015,0.000683403,0.000683403,0.000683403
151,1486.82,0.63474,0.46256,1.00325,0.49892,0.39051,0.37405,0.19995,2.11406,2.30352,2.26321,0.000676802,0.000676802,0.000676802
152,1497.33,0.64524,0.46268,0.98276,0.40879,0.40218,0.3536,0.18134,2.14863,2.48141,2.34982,0.000670201,0.000670201,0.000670201
153,1507.67,0.61737,0.45185,0.98701,0.48489,0.37682,0.35332,0.17744,2.11761,2.36864,2.32606,0.000663599,0.000663599,0.000663599
154,1516.75,0.60142,0.42919,0.99541,0.51669,0.36127,0.37562,0.19126,2.07961,2.32412,2.22697,0.000656998,0.000656998,0.000656998
155,1527.1,0.61793,0.46531,1.00337,0.5671,0.37757,0.383,0.19407,2.12339,2.30161,2.27163,0.000650397,0.000650397,0.000650397
156,1539.1,0.615,0.45227,0.9974,0.51844,0.33833,0.33104,0.1679,2.205,2.51418,2.44064,0.000643795,0.000643795,0.000643795
157,1548.32,0.62941,0.46812,0.99559,0.49899,0.37049,0.34347,0.16893,2.17709,2.48477,2.3953,0.000637194,0.000637194,0.000637194
158,1558.41,0.59331,0.42642,0.98742,0.45413,0.35968,0.32436,0.15873,2.21111,2.56766,2.43781,0.000630593,0.000630593,0.000630593
159,1568.8,0.59142,0.42467,0.98007,0.50348,0.3396,0.33939,0.16077,2.24466,2.56831,2.50123,0.000623991,0.000623991,0.000623991
160,1579.2,0.59266,0.44244,0.98965,0.53456,0.36131,0.34719,0.17053,2.22517,2.45609,2.49284,0.00061739,0.00061739,0.00061739
161,1588.24,0.60993,0.45367,1.00193,0.53737,0.35406,0.35578,0.17824,2.18307,2.45727,2.44777,0.000610789,0.000610789,0.000610789
